AR-LRCVBConventionDistrict-FV2,LPR is restarting.....check!!!!
IL-CH616-TradersSelfPark-FV2,LPR is restarting.....check!!!!
FL-PaseoBlvd-NEEntry-Doral-Purple,LPR is restarting.....check!!!!
NY-ShopsAtSkyview-FV2,LPR is restarting.....check!!!!
TX-CrownePlaza-FVWarr1,LPR is restarting.....check!!!!
FL-CT6-FV2-Port-Canaveral,LPR is restarting.....check!!!!
CA-CBX-FV-SPARE2LOTB,LPR is restarting.....check!!!!
NY-BrooklynMuseum-FV2Warr,LPR is restarting.....check!!!!
OH-200PublicSq-FV2,LPR is restarting.....check!!!!
IL-RooseveltCollection-FV2,LPR is restarting.....check!!!!
NY-ShopsAtSkyview-40th,LPR is restarting.....check!!!!
CO-ResidenceInn-FV2-Warranty2,LPR is restarting.....check!!!!
NJ-PrincetonLakeView-FV3,LPR is restarting.....check!!!!
CO-ResidenceInn-FV1-Warranty2,LPR is restarting.....check!!!!
OH-200PublicSq-FV1,LPR is restarting.....check!!!!
TX-RiverSouth-Warranty2-,LPR is restarting.....check!!!!
AR-LRCVBRiverMarket-FV2,LPR is restarting.....check!!!!
NV-HRSLTahoe-FV1Warr-Golden_Nugget,LPR is restarting.....check!!!!
MT-Bozeman-FV3-War,LPR is restarting.....check!!!!
NC-SeventhStreet-FV3-Warr,LPR is restarting.....check!!!!
GA-BuckheadVillage-FV5,LPR is restarting.....check!!!!
FL-DestinFtWalton-FV2,LPR is restarting.....check!!!!
TX-CampusOnLakeAustin-FV1Warr3,LPR is restarting.....check!!!!
TX-J3-QALabTest,LPR is restarting.....check!!!!
FL-Wynwood28-FV1,LPR is restarting.....check!!!!
AR-LRCVBRiverMarket-FV1,LPR is restarting.....check!!!!
NC-SeventhStreet-FV2WAR,LPR is restarting.....check!!!!
IL-RooseveltCollection-FV3-Warranty,LPR is restarting.....check!!!!

